"","ASVID","mh_rhizo_prev","mh_rhizo_RA.mean","mh_rhizo_log.mean","mh_rhizo_filtN","mh_rhizo_ra","mh_rhizo_prevN","mh_rhizo_condition","mh_root_prev","mh_root_RA.mean","mh_root_log.mean","mh_root_filtN","mh_root_ra","mh_root_prevN","mh_root_condition","kit_rhizo_prev","kit_rhizo_RA.mean","kit_rhizo_log.mean","kit_rhizo_filtN","kit_rhizo_ra","kit_rhizo_prevN","kit_rhizo_condition","kit_root_prev","kit_root_RA.mean","kit_root_log.mean","kit_root_filtN","kit_root_ra","kit_root_prevN","kit_root_condition","Kingdom","Phylum","Class","Order","Family","Genus"
"11","ASV_11",0.833333333333333,0.00136041671201073,-2.86632804162504,"Retain","Discard","Discard","Both_Fail",0.666666666666667,0.00697023361695619,-2.15675266568181,"Retain","Discard","Discard","Both_Fail",1,0.00518899620891235,-2.28491664660109,"Retain","Discard","Retain","Only_prevN_pass",1,0.0108520127897476,-1.96448970306806,"Retain","Retain","Retain","Both_Pass","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Azotobacter"
"12","ASV_12",1,0.0124168237360379,-1.90598948389604,"Retain","Retain","Retain","Both_Pass",1,0.0207426199089898,-1.68313639065873,"Retain","Retain","Retain","Both_Pass",1,0.0297161448005259,-1.52700753409248,"Retain","Retain","Retain","Both_Pass",1,0.018926526552317,-1.7229290816292,"Retain","Retain","Retain","Both_Pass","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Azospira"
"13","ASV_13",0.166666666666667,5.01843536993249e-05,-4.29943166455243,"Retain","Discard","Discard","Both_Fail",0.166666666666667,3.65458746063374e-05,-4.43716164023339,"Retain","Discard","Discard","Both_Fail",1,0.00319482070832629,-2.49555350920179,"Retain","Discard","Retain","Only_prevN_pass",1,0.0402317646230043,-1.39543091823097,"Retain","Retain","Retain","Both_Pass","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"14","ASV_14",0.833333333333333,0.000462261826397155,-3.33511196913943,"Retain","Discard","Discard","Both_Fail",1,0.000566128408234033,-3.24708505174016,"Retain","Discard","Retain","Only_prevN_pass",1,0.0173021785353261,-1.76189921095765,"Retain","Retain","Retain","Both_Pass",1,0.0290235734876663,-1.53724911669394,"Retain","Retain","Retain","Both_Pass","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"15","ASV_15",1,0.000893496155875348,-3.04890731163703,"Retain","Discard","Retain","Only_prevN_pass",0.166666666666667,7.03304122768768e-06,-5.15285683674488,"Retain","Discard","Discard","Both_Fail",1,0.0363149926974065,-1.43991403883499,"Retain","Retain","Retain","Both_Pass",0.833333333333333,0.000103750734405778,-3.98400882042553,"Retain","Discard","Discard","Both_Fail","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","Citrifermentans"
"16","ASV_16",0.833333333333333,0.0027291512533535,-2.56397239445964,"Retain","Discard","Discard","Both_Fail",0.333333333333333,0.000267516663052591,-3.57264916150664,"Retain","Discard","Discard","Both_Fail",1,0.063681233701375,-1.19598853156892,"Retain","Retain","Retain","Both_Pass",1,0.00664140821914945,-2.17773982470388,"Retain","Discard","Retain","Only_prevN_pass","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospirillaceae","Magnetospirillum"
"17","ASV_17",1,0.00369165025259473,-2.43277945081057,"Retain","Discard","Retain","Only_prevN_pass",1,0.0516671722786223,-1.28678530654793,"Retain","Retain","Retain","Both_Pass",1,0.00199975671786514,-2.69902283559367,"Retain","Discard","Retain","Only_prevN_pass",1,0.00942255590530433,-2.02583127714255,"Retain","Discard","Retain","Only_prevN_pass","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"18","ASV_18",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",0.833333333333333,0.000317735771641431,-3.49793388825143,"Retain","Discard","Discard","Both_Fail",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",0.5,0.000966647009746641,-3.01473208817798,"Retain","Discard","Discard","Both_Fail","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia"
"19","ASV_19",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",0.833333333333333,0.0236299168162212,-1.62653780720046,"Retain","Retain","Discard","Only_RA_pass",0.833333333333333,0.000250163291312503,-3.6017764178642,"Retain","Discard","Discard","Both_Fail","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Malikia"
"20","ASV_20",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",0.833333333333333,0.00701992722238645,-2.15366739030322,"Retain","Discard","Discard","Both_Fail",0.166666666666667,0.000110550348473925,-3.95643988411137,"Retain","Discard","Discard","Both_Fail",0.833333333333333,0.00488334553110468,-2.311282545234,"Retain","Discard","Discard","Both_Fail","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Dechloromonas"
"21","ASV_21",0.333333333333333,9.63451394454137e-05,-4.0161701903524,"Retain","Discard","Discard","Both_Fail",0.333333333333333,0.000251965558500337,-3.59865881943871,"Retain","Discard","Discard","Both_Fail",0.833333333333333,0.00316147937626102,-2.50010964693798,"Retain","Discard","Discard","Both_Fail",1,0.0154025979974998,-1.81240601937026,"Retain","Retain","Retain","Both_Pass","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Sideroxydans"
"22","ASV_22",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",0.666666666666667,0.000936871694248295,-3.02831988221299,"Retain","Discard","Discard","Both_Fail",1,0.00175355750976668,-2.75607998640366,"Retain","Discard","Retain","Only_prevN_pass",1,0.0184741307878873,-1.73343598610795,"Retain","Retain","Retain","Both_Pass","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas"
"23","ASV_23",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",0.833333333333333,0.0152341885060037,-1.81718067480206,"Retain","Retain","Discard","Only_RA_pass",1,0.00665767773911104,-2.17667723043393,"Retain","Discard","Retain","Only_prevN_pass","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Gallionella"
"24","ASV_24",0.666666666666667,0.000223332882042613,-3.65104732960063,"Retain","Discard","Discard","Both_Fail",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",0.833333333333333,0.013100316544143,-1.88271821032029,"Retain","Retain","Discard","Only_RA_pass",0.666666666666667,0.000667568684334381,-3.17550404428123,"Retain","Discard","Discard","Both_Fail","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","WCHB1-32"
"25","ASV_25",0.166666666666667,0.000107748759413256,-3.96758772147423,"Retain","Discard","Discard","Both_Fail",0.666666666666667,0.00403684588546486,-2.39395783031963,"Retain","Discard","Discard","Both_Fail",1,0.0014583363788835,-2.83614229039156,"Retain","Discard","Retain","Only_prevN_pass",1,0.0132867664481806,-1.8765806988601,"Retain","Retain","Retain","Both_Pass","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"26","ASV_26",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",0.333333333333333,0.0114447228046074,-1.94139472163402,"Retain","Retain","Discard","Only_RA_pass",0.666666666666667,0.00141814240757979,-2.84828015580972,"Retain","Discard","Discard","Both_Fail","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospirillaceae","Magnetospirillum"
"27","ASV_27",1,0.00792742111155171,-2.10086807109062,"Retain","Discard","Retain","Only_prevN_pass",1,0.0252534931335508,-1.59767854056712,"Retain","Retain","Retain","Both_Pass",0.166666666666667,0.000267992524419056,-3.57187732033253,"Retain","Discard","Discard","Both_Fail",0.666666666666667,0.00123418925422225,-2.90861823919881,"Retain","Discard","Discard","Both_Fail","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Azospira"
"28","ASV_28",1,0.000869894234207625,-3.06053354771735,"Retain","Discard","Retain","Only_prevN_pass",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",1,0.0153948565745765,-1.8126243528251,"Retain","Retain","Retain","Both_Pass",1,0.00239506197430901,-2.62068324435706,"Retain","Discard","Retain","Only_prevN_pass","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"29","ASV_29",0.333333333333333,0.000224423643942139,-3.64893139031841,"Retain","Discard","Discard","Both_Fail",0.5,0.00010693476305973,-3.97088108851651,"Retain","Discard","Discard","Both_Fail",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",1,0.00061058101257924,-3.21425670521305,"Retain","Discard","Retain","Only_prevN_pass","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"30","ASV_30",0.5,0.000265665302683117,-3.57566516308032,"Retain","Discard","Discard","Both_Fail",0.333333333333333,0.000188689136033843,-3.7242531040554,"Retain","Discard","Discard","Both_Fail",0.5,0.000143143620805402,-3.8442280015421,"Retain","Discard","Discard","Both_Fail",0.166666666666667,1.7088978036391e-05,-4.76728390839846,"Retain","Discard","Discard","Both_Fail","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Hydrogenophilaceae","Thiobacillus"
"31","ASV_31",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",1,0.017211996134916,-1.76416876011358,"Retain","Retain","Retain","Both_Pass",1,0.000713666429014672,-3.14650473204592,"Retain","Discard","Retain","Only_prevN_pass","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Williamwhitmaniaceae","Acetobacteroides"
"32","ASV_32",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",0.333333333333333,0.000444275643308276,-3.35234749559723,"Retain","Discard","Discard","Both_Fail",1,0.00717056644993584,-2.14444653521583,"Retain","Discard","Retain","Only_prevN_pass","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"33","ASV_33",0.166666666666667,7.822855135483e-05,-4.10663471199389,"Retain","Discard","Discard","Both_Fail",0.166666666666667,0.000184803258451053,-3.7332903755681,"Retain","Discard","Discard","Both_Fail",0.666666666666667,0.0012645167157857,-2.89807542529505,"Retain","Discard","Discard","Both_Fail",1,0.0112765522654382,-1.94782366285018,"Retain","Retain","Retain","Both_Pass","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Ideonella"
"34","ASV_35",1,0.0487577060729136,-1.31195673503295,"Retain","Retain","Retain","Both_Pass",0.833333333333333,0.000451318450279271,-3.34551691179187,"Retain","Discard","Discard","Both_Fail",0.333333333333333,0.000193427135801548,-3.71348259901111,"Retain","Discard","Discard","Both_Fail",0.333333333333333,0.000115398671432844,-3.93779919111708,"Retain","Discard","Discard","Both_Fail","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chromobacteriaceae","Pseudogulbenkiania"
"35","ASV_36",0.166666666666667,3.6900260073033e-05,-4.43297057292264,"Retain","Discard","Discard","Both_Fail",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",1,0.0125827178139944,-1.90022554298152,"Retain","Retain","Retain","Both_Pass",0.666666666666667,0.000129765502224033,-3.88684074809844,"Retain","Discard","Discard","Both_Fail","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 10"
"36","ASV_37",1,0.0123403065075515,-1.90867405319701,"Retain","Retain","Retain","Both_Pass",1,0.00515880254841625,-2.28745109429655,"Retain","Discard","Retain","Only_prevN_pass",1,0.00358464286940346,-2.445554105707,"Retain","Discard","Retain","Only_prevN_pass",1,0.00130088596679233,-2.88576077120426,"Retain","Discard","Retain","Only_prevN_pass","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Methyloversatilis"
"37","ASV_38",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",1,0.00976085222927609,-2.01051226201428,"Retain","Discard","Retain","Only_prevN_pass",0.5,0.000120055633245075,-3.92061745718252,"Retain","Discard","Discard","Both_Fail","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","Geotalea"
"38","ASV_39",0.333333333333333,0.000597052626209849,-3.22398738701931,"Retain","Discard","Discard","Both_Fail",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",1,0.0108659135324862,-1.9639337552671,"Retain","Retain","Retain","Both_Pass",0,0,-Inf,"Retain","Discard","Discard","Both_Fail","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","Citrifermentans"
"39","ASV_40",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",1,0.00623427425216398,-2.20521409657608,"Retain","Discard","Retain","Only_prevN_pass",1,0.00459437126500819,-2.33777391296566,"Retain","Discard","Retain","Only_prevN_pass","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ensifer"
"40","ASV_41",1,0.0397818244732272,-1.40031530315012,"Retain","Retain","Retain","Both_Pass",1,0.000864933511042706,-3.06301727623125,"Retain","Discard","Retain","Only_prevN_pass",0.5,0.000433751384889773,-3.36275912557507,"Retain","Discard","Discard","Both_Fail",0.333333333333333,8.97292261681936e-05,-4.04706607762217,"Retain","Discard","Discard","Both_Fail","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chromobacteriaceae","Pseudogulbenkiania"
"41","ASV_42",0.333333333333333,9.9820684300939e-05,-4.00077945723985,"Retain","Discard","Discard","Both_Fail",0.5,0.00274284433130503,-2.56179883985215,"Retain","Discard","Discard","Both_Fail",0.666666666666667,0.000282709552652481,-3.5486595166107,"Retain","Discard","Discard","Both_Fail",1,0.00593623979830301,-2.22648856376402,"Retain","Discard","Retain","Only_prevN_pass","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"42","ASV_43",1,0.00498863383845253,-2.30201837174241,"Retain","Discard","Retain","Only_prevN_pass",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",1,0.00504273171950716,-2.29733413630982,"Retain","Discard","Retain","Only_prevN_pass",0,0,-Inf,"Retain","Discard","Discard","Both_Fail","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","WCHB1-32"
"43","ASV_44",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",0.5,0.00132713019005205,-2.87708647122161,"Retain","Discard","Discard","Both_Fail",0.833333333333333,0.00975888922117603,-2.0105996118996,"Retain","Discard","Discard","Both_Fail","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Sideroxydans"
"44","ASV_45",0.833333333333333,0.000985635990128128,-3.00628344679016,"Retain","Discard","Discard","Both_Fail",0.333333333333333,3.9411140515097e-05,-4.40438099694749,"Retain","Discard","Discard","Both_Fail",1,0.0107172770880147,-1.96991554074963,"Retain","Retain","Retain","Both_Pass",0.666666666666667,0.000101883589949119,-3.99189576072821,"Retain","Discard","Discard","Both_Fail","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","WCHB1-32"
"45","ASV_46",0.333333333333333,0.000239697061246974,-3.62033729050555,"Retain","Discard","Discard","Both_Fail",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",1,0.00900348181824243,-2.0455895081133,"Retain","Discard","Retain","Only_prevN_pass",0,0,-Inf,"Retain","Discard","Discard","Both_Fail","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","Citrifermentans"
"46","ASV_47",1,0.0105466154928692,-1.97688688715241,"Retain","Retain","Retain","Both_Pass",0.166666666666667,2.81321649107507e-05,-4.55079684541692,"Retain","Discard","Discard","Both_Fail",1,0.00761489047841177,-2.1183363385477,"Retain","Discard","Retain","Only_prevN_pass",0.166666666666667,1.33977958711821e-05,-4.87296664340524,"Retain","Discard","Discard","Both_Fail","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","Citrifermentans"
"47","ASV_48",0.833333333333333,0.00141677336888286,-2.84869961518326,"Retain","Discard","Discard","Both_Fail",1,0.00232525930062031,-2.63352860984959,"Retain","Discard","Retain","Only_prevN_pass",1,0.00457070552204426,-2.34001675820551,"Retain","Discard","Retain","Only_prevN_pass",1,0.00604226684677332,-2.218800098738,"Retain","Discard","Retain","Only_prevN_pass","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"48","ASV_49",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",1,0.00899899100704413,-2.04580618218714,"Retain","Discard","Retain","Only_prevN_pass",0.166666666666667,1.0596542983817e-05,-4.9748357958605,"Retain","Discard","Discard","Both_Fail","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 8"
"49","ASV_50",0.333333333333333,0.000112662104431128,-3.94822214077783,"Retain","Discard","Discard","Both_Fail",1,0.000809398306692715,-3.09183770851225,"Retain","Discard","Retain","Only_prevN_pass",1,0.00265203308668917,-2.57642106198789,"Retain","Discard","Retain","Only_prevN_pass",1,0.00804273560212987,-2.0945962081125,"Retain","Discard","Retain","Only_prevN_pass","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter"
"50","ASV_51",1,0.0029252015619759,-2.53384420334661,"Retain","Discard","Retain","Only_prevN_pass",0.833333333333333,0.00162724224561964,-2.78854778934676,"Retain","Discard","Discard","Both_Fail",1,0.0046170907800308,-2.33563158638045,"Retain","Discard","Retain","Only_prevN_pass",0,0,-Inf,"Retain","Discard","Discard","Both_Fail","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","Geobacter"
"51","ASV_52",0.166666666666667,4.84341247469317e-05,-4.31484854399183,"Retain","Discard","Discard","Both_Fail",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",1,0.00829607303898309,-2.08112743305493,"Retain","Discard","Retain","Only_prevN_pass",0.666666666666667,0.000169239380973943,-3.77149857185464,"Retain","Discard","Discard","Both_Fail","Bacteria","Firmicutes","Clostridia","Gracilibacteraceae","Lutispora",NA
"52","ASV_53",1,0.00145719588113911,-2.83648206499057,"Retain","Discard","Retain","Only_prevN_pass",1,0.0155712638161349,-1.80767613720073,"Retain","Retain","Retain","Both_Pass",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",0.333333333333333,0.00100784871944756,-2.99660465166012,"Retain","Discard","Discard","Both_Fail","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"53","ASV_54",0.166666666666667,5.43467520404735e-05,-4.26482640581963,"Retain","Discard","Discard","Both_Fail",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",1,0.00871439615300218,-2.05976270109614,"Retain","Discard","Retain","Only_prevN_pass",0.166666666666667,1.7088978036391e-05,-4.76728390839846,"Retain","Discard","Discard","Both_Fail","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 8"
"54","ASV_55",1,0.00629894292223958,-2.2007323269841,"Retain","Discard","Retain","Only_prevN_pass",1,0.00107118586303958,-2.97013516755357,"Retain","Discard","Retain","Only_prevN_pass",1,0.00178771768141759,-2.74770106444574,"Retain","Discard","Retain","Only_prevN_pass",0.833333333333333,0.00285078393011818,-2.54503569798813,"Retain","Discard","Discard","Both_Fail","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Azospira"
"55","ASV_56",0.333333333333333,8.17040962103553e-05,-4.08775616969819,"Retain","Discard","Discard","Both_Fail",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",1,0.00756953916080451,-2.12093055986741,"Retain","Discard","Retain","Only_prevN_pass",1,0.0015387034109843,-2.8128450834733,"Retain","Discard","Retain","Only_prevN_pass","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"56","ASV_57",0.833333333333333,0.000578099297351541,-3.23799755848604,"Retain","Discard","Discard","Both_Fail",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",1,0.0077266602064174,-2.11200818620491,"Retain","Discard","Retain","Only_prevN_pass",1,0.00032688448637028,-3.48560569013745,"Retain","Discard","Retain","Only_prevN_pass","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Ammoniphilus"
"57","ASV_58",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",0,0,-Inf,"Retain","Discard","Discard","Both_Fail",1,0.0101043468308224,-1.99549175507672,"Retain","Retain","Retain","Both_Pass",1,0.00106965311605486,-2.97075703933174,"Retain","Discard","Retain","Only_prevN_pass","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"58","ASV_59",0.666666666666667,0.00204056066626465,-2.69025048903954,"Retain","Discard","Discard","Both_Fail",0.333333333333333,0.000253697393805274,-3.59568399419649,"Retain","Discard","Discard","Both_Fail",0.666666666666667,0.000818786856121641,-3.08682913762612,"Retain","Discard","Discard","Both_Fail",0.5,0.00042001616175511,-3.37673399811158,"Retain","Discard","Discard","Both_Fail","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Azospira"
"59","ASV_60",1,0.00235110947192596,-2.62872714886464,"Retain","Discard","Retain","Only_prevN_pass",1,0.0109159970041672,-1.96193659219175,"Retain","Retain","Retain","Both_Pass",0.666666666666667,0.00240727407367269,-2.6184744614875,"Retain","Discard","Discard","Both_Fail",1,0.00221864517021558,-2.65391214929546,"Retain","Discard","Retain","Only_prevN_pass","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Pelomonas"
